system:index,NO2_mean,fecha,.geo
20190101T050029_20190107T071237,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T064159_20190107T084135,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T082329_20190107T103220,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T100459_20190107T120049,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T114629_20190107T141728,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T132759_20190107T153006,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T150929_20190107T171415,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T165059_20190107T185757,1.1488937582778055E-5,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T183229_20190107T203231,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T201359_20190107T215436,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T215529_20190107T234940,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T233659_20190108T012405,-9999,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T011828_20190108T025503,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T025958_20190108T050912,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T044128_20190108T065158,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T062258_20190108T083511,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T080428_20190108T095255,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T094558_20190108T114833,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T112728_20190108T135822,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T130858_20190108T150844,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T145028_20190108T163856,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T163158_20190108T183154,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T181328_20190108T202234,7.240884059251063E-6,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T195458_20190108T214313,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T213628_20190108T232440,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T231758_20190109T004736,-9999,2019-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T005928_20190109T022648,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T024058_20190109T043613,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T042228_20190109T063951,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T060358_20190109T082155,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T074528_20190109T094102,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T092658_20190109T111612,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T110828_20190109T133132,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T124958_20190109T150554,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T143128_20190109T161652,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T161258_20190109T181004,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T175428_20190109T200041,7.501463465067672E-6,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T193558_20190109T215152,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T211728_20190109T230031,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T225858_20190110T003520,-9999,2019-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T004028_20190110T021123,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T022158_20190110T040839,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T040328_20190110T060853,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T054458_20190110T075351,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T072628_20190110T091526,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T090758_20190110T152003,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T104928_20190110T153458,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T123058_20190110T153649,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T141228_20190110T153509,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T155358_20190110T173454,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T173528_20190110T193554,1.1493635154550347E-5,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T191658_20190110T213645,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T205828_20190110T231725,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T223958_20190111T002240,-9999,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T002128_20190111T014937,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T020258_20190111T034647,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T034428_20190111T054910,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T052558_20190111T074714,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T070728_20190111T090432,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T084858_20190111T104511,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T103028_20190111T123342,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T121158_20190111T143510,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T135328_20190111T154507,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T153458_20190111T171834,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T171628_20190111T192803,9.201545180672664E-6,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T185758_20190111T205856,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T203928_20190111T223854,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T222058_20190111T234959,-9999,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T000228_20190112T013635,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T014358_20190112T032313,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T032528_20190112T053544,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T050658_20190112T072210,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T064828_20190112T084045,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T082958_20190112T102617,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T101128_20190112T121516,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T115258_20190112T141145,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T133428_20190112T153144,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T151558_20190112T164644,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T165728_20190112T185347,8.639423047867265E-6,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T183858_20190112T204813,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T202028_20190112T220134,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T220158_20190112T233909,-9999,2019-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T234328_20190113T012437,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T012458_20190113T031806,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T030628_20190113T051117,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T044758_20190113T070751,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T062928_20190113T084413,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T081058_20190113T100110,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T095228_20190113T115634,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T113358_20190113T134813,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T131528_20190113T150823,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T145658_20190113T165132,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T163828_20190113T182723,7.9448150878884E-6,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T181958_20190113T202854,4.6190293859502155E-6,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T200128_20190113T214918,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T214259_20190113T233839,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T232429_20190114T005359,-9999,2019-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T010559_20190114T024144,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T024729_20190114T043521,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T042859_20190114T063514,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T061029_20190114T081515,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T075159_20190114T095154,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T093329_20190114T111655,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T111459_20190114T133207,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T125629_20190114T151401,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T143759_20190114T161956,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T161929_20190114T180349,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T180059_20190114T200132,7.362404194039179E-6,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T194229_20190114T212643,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T212359_20190114T230931,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T230529_20190115T005228,-9999,2019-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T004659_20190115T022741,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T022829_20190115T040238,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
